Player clicks on the wrong thing - wrong info text,#NOTHING,1,ALICE,0,Hmm... I don't think there's anything for me to do here. Maybe I should go look somewhere else?,,,,,,,,,,,,,,,,,,,,
Story - Introduction,#HUBINTA,1,NARRATOR,-1,Once upon a time// in the halls of KK Hospital// there was a girl called Alice. She just joined the nursing team this year and she is excited to learn.,,,,,,,,,,,,,,,,,,,,
,#HUBINTC,3,NARRATOR,-1,Now// Alice was far from being hailed as the best nurse in the ward. In fact// she often found herself stumbling through her duties and failing to complete basic tasks.,,,,,,,,,,,,,,,,,,,,
,#HUBINTC,4,SN1,-1,Alice. We need help over here!,,,,,,,,,,,,,,,,,,,,
,#HUBINTC,5,SN2,-1,Alice. Can you help me take more gauze?,,,,,,,,,,,,,,,,,,,,
,#HUBINTC,6,SN2,-1,Alice!! Has our patient been fed?,,,,,,,,,,,,,,,,,,,,
,#HUBINTC,4,NARRATOR,-1,Her well-intentioned efforts seemed to always miss the mark// and her colleagues and supervisors were quick to take notice.,,,,,,,,,,,,,,,,,,,,
,#HUBINTD,5,ALICE,0,Oh no// what am I supposed to do now? Why am I so slow?,,,,,,,,,,,,,,,,,,,,
,#HUBINTD,7,ALICE,0,How is it possible to get everything done...,,,,,,,,,,,,,,,,,,,,
,#HUBINTD,9,NARRATOR,-1,However// Alice carried an unwavering determination to improve and learn.,,,,,,,,,,,,,,,,,,,,
,#HUBINTD,12,NARRATOR,-1,Even though Alice knew that she wasnt the best// she had hoped that maybe// just maybe// twere starting to see her efforts and recognize her potential// but the harsh reality was clear – they still saw her as a burden.,,,,,,,,,,,,,,,,,,,,
Add effect in here -> Hospital change,#HUBINTD,14,NARRATOR,-1,In her distress// she starts to drift away....,,,,,,,,,,,,,,,,,,,,
Introduction dialogue for main hub area (wonderland),#HUBINTG,1,ALICE,0,Where am I...?,,,,,,,,,,,,,,,,,,,,
Add looking left and right effect,#HUBINTG,2,ALICE,0,Am I in KKH? I thought I was at home…why am I back at work?,,,,,,,,,,,,,,,,,,,,
Meeting peter!,#HUBINTI,1,PETER,1,Hi! Are you the new nurse?,,,,,,,,,,,,,,,,,,,,
,#HUBINTI,2,PETER,1,You’re at KK Hospital! Judging by your attire// you’re a junior nurse! So that means you’re…Alice?,,,,,,,,,,,,,,,,,,,,
,#HUBINTI,3,PETER,1,Great! Well// my name is Peter Rabbit - you can call me Peter - and I’ll be your mentor!,,,,,,,,,,,,,,,,,,,,
,#HUBINTI,4,PETER,1,Welcome to my wonderful world! This is wonderland// where we help everyone!,,,,,,,,,,,,,,,,,,,,
,#HUBINTI,5,PETER,1,You can go into any one of these doors to access the areas! You can go into the lines section// the stoma section// or the nasogastric section!,,,,,,,,,,,,,,,,,,,,
,#HUBINTJ,1,PETER,1,If you have any problems// let me know!,,,,,,,,,,,,,,,,,,,,
Lines Conversations - Intro room,#LINNPA,1,LGUARD,0,"Welcome to the ""lines"" area! Feel free to look around as much as you want :D",,,,,,,,,,,,,,,,,,,,
Peripheral Intro Line,#LINNPB,1,LGUARD,0,I learnt from a friend about how to set up a peripheral line! It's so cool// want me to show you?,,,,,,,,,,,,,,,,,,,,
Phlebitis,#LINNPC,1,LGUARD,0,Phlebitis is very scary~~ I had encountered it once and I didn't know how to deal with it..,,,,,,,,,,,,,,,,,,,,
,#LINNPC,2,LGUARD,0,But I know how to deal with it now! Let me show you :DD,,,,,,,,,,,,,,,,,,,,
Roller Clamp,#LINNPD,1,LGUARD,0,Do you know what [ Check Upstream ] means?,,,,,,,,,,,,,,,,,,,,
Kinked Lines,#LINNPI,1,LGUARD,0,Tubes get tangled so easily!! But did you know they can cause an alarm in pumps? Let me show you how to resolve them!,,,,,,,,,,,,,,,,,,,,
